Province&City,Confirmed,Suspected,Cured,Dead
湖北,729,0,32,39
"""武汉""",572,0,32,38
"""黄冈""",64,0,0,0
"""孝感""",26,0,0,0
"""荆门""",21,0,0,0
"""恩施州""",11,0,0,0
"""荆州""",10,0,0,0
"""仙桃""",10,0,0,0
"""十堰""",5,0,0,0
"""随州""",5,0,0,0
"""天门""",3,0,0,0
"""宜昌""",1,0,0,1
"""鄂州""",1,0,0,0
广东,78,0,2,0
"""深圳""",20,0,2,0
"""广州""",14,0,0,0
"""珠海""",10,0,0,0
"""佛山""",9,0,0,0
"""惠州""",7,0,0,0
"""阳江""",5,0,0,0
"""韶关""",3,0,0,0
"""湛江""",2,0,0,0
"""中山""",2,0,0,0
"""肇庆""",2,0,0,0
"""清远""",2,0,0,0
"""东莞""",1,0,0,0
"""汕头""",1,0,0,0
浙江,62,0,1,0
"""台州""",18,0,0,0
"""杭州""",6,0,0,0
"""温州""",6,0,1,0
"""宁波""",5,0,0,0
"""嘉兴""",3,0,0,0
"""衢州""",2,0,0,0
"""舟山""",1,0,0,0
"""绍兴""",1,0,0,0
"""金华""",1,0,0,0
重庆,57,0,0,0
"""万州区""",3,0,0,0
"""巫山县""",3,0,0,0
"""长寿区""",3,0,0,0
"""垫江县""",2,0,0,0
"""永川区""",2,0,0,0
"""九龙坡区""",2,0,0,0
"""渝北区""",2,0,0,0
"""开州区""",2,0,0,0
"""涪陵区""",1,0,0,0
"""大渡口区""",1,0,0,0
"""忠县""",1,0,0,0
"""云阳县""",1,0,0,0
"""奉节县""",1,0,0,0
"""巫溪县""",1,0,0,0
"""秀山县""",1,0,0,0
"""两江新区""",1,0,0,0
湖南,43,0,0,0
"""长沙""",8,0,0,0
"""永州""",4,0,0,0
"""怀化""",3,0,0,0
"""岳阳""",3,0,0,0
"""娄底""",3,0,0,0
"""郴州""",1,0,0,0
"""株洲""",1,0,0,0
"""湘潭""",1,0,0,0
安徽,39,0,0,0
"""合肥""",10,0,0,0
"""阜阳""",7,0,0,0
"""亳州""",4,0,0,0
"""六安""",2,0,0,0
"""滁州""",2,0,0,0
"""安庆""",1,0,0,0
"""池州""",1,0,0,0
"""蚌埠""",1,0,0,0
北京,36,0,1,0
"""外地来京人员""",10,0,0,0
"""海淀""",6,0,0,0
"""朝阳""",5,0,0,0
"""西城""",4,0,0,0
"""昌平""",3,0,0,0
"""大兴""",2,0,1,0
"""丰台""",2,0,0,0
"""通州""",2,0,0,0
"""石景山""",1,0,0,0
"""顺义""",1,0,0,0
上海,33,0,1,0
河南,32,0,0,0
"""郑州""",3,0,0,0
"""巩义""",2,0,0,0
"""洛阳""",1,0,0,0
"""三门峡""",1,0,0,0
"""信阳""",1,0,0,0
"""周口""",1,0,0,0
广西,23,0,0,0
"""北海""",6,0,0,0
"""桂林""",6,0,0,0
"""柳州""",3,0,0,0
"""河池""",3,0,0,0
"""防城港""",2,0,0,0
"""梧州""",1,0,0,0
"""百色""",1,0,0,0
"""玉林""",1,0,0,0
山东,21,0,0,0
"""青岛""",4,0,0,0
"""威海""",2,0,0,0
"""临沂""",2,0,0,0
"""济南""",2,0,0,0
"""烟台""",2,0,0,0
"""潍坊""",1,0,0,0
"""日照""",1,0,0,0
"""济宁""",1,0,0,0
江西,18,0,0,0
"""抚州""",4,0,0,0
"""南昌""",3,0,0,0
"""九江""",2,0,0,0
"""赣州""",2,0,0,0
"""上饶""",2,0,0,0
"""萍乡""",1,0,0,0
"""新余""",1,0,0,0
"""吉安""",1,0,0,0
"""景德镇""",1,0,0,0
"""宜春""",1,0,0,0
江苏,18,0,1,0
"""南京""",3,0,0,0
"""苏州""",2,0,0,0
"""连云港""",1,0,0,0
"""扬州""",1,0,0,0
"""南通""",1,0,0,0
"""无锡""",1,0,0,0
四川,15,0,0,0
"""成都""",7,0,0,0
"""广安""",2,0,0,0
"""绵阳""",2,0,0,0
"""达州""",1,0,0,0
"""德阳""",1,0,0,0
"""遂宁""",1,0,0,0
"""雅安""",1,0,0,0
辽宁,12,0,0,0
"""沈阳""",3,0,0,0
"""大连""",2,0,0,0
"""朝阳""",2,0,0,0
"""铁岭""",2,0,0,0
"""葫芦岛""",2,0,0,0
"""本溪""",1,0,0,0
福建,10,2,0,0
"""福州""",5,0,0,0
"""厦门""",3,0,0,0
"""泉州""",1,0,0,0
"""宁德""",1,0,0,0
黑龙江,9,0,0,1
"""牡丹江""",1,0,0,0
"""哈尔滨""",1,0,0,0
"""大庆""",1,0,0,0
"""绥化""",1,0,0,1
海南,8,0,0,0
"""海口""",3,0,0,0
"""三亚""",2,0,0,0
"""万宁""",2,0,0,0
"""临高县""",1,0,0,0
天津,8,0,0,0
河北,8,0,0,1
"""石家庄""",1,0,0,0
"""沧州""",1,0,0,1
山西,6,0,0,0
"""太原""",2,0,0,0
"""运城""",2,0,0,0
"""大同""",1,0,0,0
"""长治""",1,0,0,0
云南,5,0,0,0
"""昆明""",3,0,0,0
"""西双版纳州""",1,0,0,0
"""丽江市""",1,0,0,0
香港,5,0,0,0
陕西,5,0,0,0
"""西安""",2,0,0,0
"""咸阳""",1,0,0,0
"""安康""",1,0,0,0
"""延安""",1,0,0,0
贵州,4,0,0,0
"""贵阳""",1,0,0,0
"""铜仁""",1,0,0,0
"""黔南州""",1,0,0,0
吉林,4,0,0,0
"""长春""",1,0,0,0
"""吉林""",1,0,0,0
"""松原""",1,0,0,0
甘肃,4,0,0,0
"""未知""",2,0,0,0
"""兰州""",1,0,0,0
"""白银""",1,0,0,0
台湾,3,0,0,0
新疆,3,0,0,0
宁夏,2,0,0,0
"""银川""",1,0,0,0
"""中卫""",1,0,0,0
澳门,2,0,0,0
内蒙古,1,0,0,0
"""满洲里""",1,0,0,0
青海,0,1,0,0
